Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","JUMP_3X2","Straight_2x03",-1.2800,31.7493,0.0000,top
"J2","MCX","SMA6251A13G50",50.7900,20.9543,0.0000,top
"J3","MCX","SMA6251A13G50",50.7900,31.7493,0.0000,top
"J4","JUMP_3X2","Straight_2x03",-1.2800,18.6683,0.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",24.7280,41.3520,90.0000,top
"J13","HEADER_2x01_PARALLEL","Straight_2x01",12.0650,22.8600,180.0000,top
"J14","HEADER_2x01_PARALLEL","Straight_2x01",11.7740,29.4140,180.0000,top
"J15","HEADER_2x01_PARALLEL","Straight_2x01",11.2167,26.8740,180.0000,top
"J16","HEADER_2x01_PARALLEL","Straight_2x01",10.1600,34.7480,180.0000,top
"J17","HEADER_2x01_PARALLEL","Straight_2x01",24.6010,11.4435,90.0000,top
"J19","HEADER_2x01_PARALLEL","Straight_2x01",12.0650,20.3200,0.0000,top
"J20","HEADER_2x01_PARALLEL","Straight_2x01",22.0610,11.4435,90.0000,top
"J21","HEADER_2x01_PARALLEL","Straight_2x01",19.5210,11.4435,90.0000,top
"J22","HEADER_2x01_PARALLEL","Straight_2x01",17.1080,41.9093,90.0000,top
"J23","HEADER_2x01_PARALLEL","Straight_2x01",19.6480,41.9093,90.0000,top
"J24","HEADER_1x02","Straight_1x02",14.5680,41.8600,180.0000,top
"J25","HEADER_1x02","Straight_1x02",22.1880,41.3520,180.0000,top
"J26","HEADER_2x01_PARALLEL","Straight_2x01",10.1600,31.7500,180.0000,top
"M1","HOLE","MountingHole_3mm",10.1600,40.6400,0.0000,top
"M2","HOLE","MountingHole_3mm",50.8000,40.6400,0.0000,top
"M3","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","HOLE","MountingHole_3mm",50.8000,10.1600,0.0000,top
